Nuclear,Lignite,HardCoal,NaturalGas,Oil(light),Oil(heavy),OtherFuels,Waste,hydro,Biomass,Geothermal,wind onshore,wind offshore,sun
1,1,1,1,1,1,1,1,1,1,1,0.33906931,0.707494647,0
1,1,1,1,1,1,1,1,1,1,1,0.331252636,0.706423983,0
1,1,1,1,1,1,1,1,1,1,1,0.321439618,0.706638116,0
1,1,1,1,1,1,1,1,1,1,1,0.325235484,0.706423983,0
1,1,1,1,1,1,1,1,1,1,1,0.336398144,0.704496788,0
1,1,1,1,1,1,1,1,1,1,1,0.357542528,0.682655246,0
1,1,1,1,1,1,1,1,1,1,1,0.366090257,0.617344754,3.62E-05
1,1,1,1,1,1,1,1,1,1,1,0.369886124,0.569807281,0.009915322
1,1,1,1,1,1,1,1,1,1,1,0.36878954,0.557815846,0.075378157
1,1,1,1,1,1,1,1,1,1,1,0.342921412,0.494218415,0.169320402
1,1,1,1,1,1,1,1,1,1,1,0.312948123,0.464668094,0.247159297
1,1,1,1,1,1,1,1,1,1,1,0.289160692,0.417987152,0.286820583
1,1,1,1,1,1,1,1,1,1,1,0.269731478,0.305567452,0.256350872
1,1,1,1,1,1,1,1,1,1,1,0.254294953,0.168094218,0.167728161
1,1,1,1,1,1,1,1,1,1,1,0.240292422,0.095931478,0.060107114
1,1,1,1,1,1,1,1,1,1,1,0.242401237,0.112633833,0.004270102
1,1,1,1,1,1,1,1,1,1,1,0.257050471,0.127623126,0
1,1,1,1,1,1,1,1,1,1,1,0.256431885,0.161884368,0
1,1,1,1,1,1,1,1,1,1,1,0.261408688,0.199143469,0
1,1,1,1,1,1,1,1,1,1,1,0.26742584,0.338972163,0
1,1,1,1,1,1,1,1,1,1,1,0.268578659,0.424197002,0
1,1,1,1,1,1,1,1,1,1,1,0.278110502,0.524197002,0
1,1,1,1,1,1,1,1,1,1,1,0.268409954,0.581156317,0
1,1,1,1,1,1,1,1,1,1,1,0.265120202,0.633832976,0
1,1,1,1,1,1,1,1,1,1,1,0.27881344,0.64111349,0
1,1,1,1,1,1,1,1,1,1,1,0.28280613,0.567665953,0
1,1,1,1,1,1,1,1,1,1,1,0.289498102,0.513490364,0
1,1,1,1,1,1,1,1,1,1,1,0.277913679,0.450749465,0
