id,From,To,Voltage,Reactance,Resistance,Circuits,ThermalLimit
l11522,n5543,n5557,132,25.95784487,6.482630206,1,0.74
l11516,n5543,n5557,132,24.62575238,6.149957633,1,0.74
l6920,n5557,n5579,132,9.896138579,2.471430398,1,0.74
l9289,n5557,n5579,132,9.921217778,2.477693598,1,0.74
l382,n5602,n5695,132,12.10818594,3.023860121,1,0.74
l965,n5713,n5722,132,21.49210368,5.367370104,1,0.74
l6643,n5648,n5726,132,22.10114843,5.519471015,1,0.74
l11572_1,n3307,n7769,220,18.83321069,3.754128377,2,1.29
l9636_1,n4715,n7261,380,20.26964189,2.471907548,2,2.58
l11025_1,n6850,n7788,380,1.416640774,0.17276107,2,2.58
l11460_1,n3467,n7889,380,12.032484,1.467376097,3,2.58
l18_1,n4551,n7988,380,2.213131765,0.269894118,2,2.58
l697_1,n3310,n3316,220,10.57967603,2.108905522,2,1.29
l700_1,n3303,n3316,220,10.62850254,2.11863838,2,1.29
l521_1,n3320,n3348,220,4.244906206,0.846160706,3,1.29
l685_1,n3321,n3348,220,15.24538325,3.038946827,2,1.29
l681_1,n3454,n3458,220,18.56247617,3.700161363,2,1.29
l7492_1,n3458,n3460,220,2.256263065,0.449753435,2,1.29
l682_1,n3454,n3463,220,13.72126756,2.73513639,2,1.29
l556_1,n3464,n3466,220,8.434497585,1.6812952,2,1.29
l850_1,n3474,n3482,220,4.676051464,0.932103282,2,1.29
l851_1,n3482,n3487,220,8.524422084,1.699220349,2,1.29
l852_1,n3482,n3487,220,8.58951495,1.712195671,2,1.29
l653_1,n3489,n3491,220,10.81912363,2.15663594,2,1.29
l652_1,n3494,n3499,220,16.55823375,3.300644601,2,1.29
l687_1,n3464,n3504,220,6.31173182,1.258152522,2,1.29
l854_1,n3463,n3504,220,5.780606763,1.152280418,2,1.29
l888,n3454,n3587,220,5.766476629,1.14946378,1,1.29
l5529_1,n4576,n7988,380,4.73713041,0.57769883,2,2.58
l7491_1,n3456,n3848,220,2.555411032,0.509384259,2,1.29
l5564_1,n4543,n7988,380,2.010995043,0.245243298,2,2.58
l698_1,n3316,n4500,220,24.45916731,4.875581523,2,1.29
l699_1,n4500,n4511,220,16.61215235,3.311392495,2,1.29
l561_1,n4513,n4522,220,8.026087571,1.599884566,2,1.29
l702_1,n4520,n4523,220,5.994249816,1.194867073,2,1.29
l703_1,n4520,n4526,220,5.046582106,1.005963211,2,1.29
l704_1,n4524,n4530,220,7.843338109,1.563456101,2,1.29
l6693_1,n4505,n4531,220,4.972169359,0.991130105,2,1.29
l912_1,n4532,n4533,220,10.98727726,2.190154936,2,1.29
l11390_1,n4535,n4541,220,11.47150896,2.286679527,2,1.29
l939_1,n4538,n4560,220,7.427915471,1.480647602,2,1.29
l572_1,n4505,n4577,220,3.549575903,0.707556658,2,1.29
l721_1,n4594,n4595,220,6.881294938,1.371686699,2,1.29
l929_1,n4598,n4599,220,2.87742045,0.573572183,2,1.29
l926_1,n4600,n4601,220,5.943152799,1.184681621,2,1.29
l598,n4583,n4608,220,2.472585448,0.492874176,1,1.29
l903_1,n4601,n4611,220,13.83920114,2.758644745,3,1.29
l936_1,n4611,n4614,220,15.85394046,3.160253912,2,1.29
l930_1,n4612,n4614,220,4.810843638,0.958972154,2,1.29
l649_1,n4605,n4617,220,13.63038643,2.717020552,2,1.29
l6951_1,n4622,n4633,220,2.977463293,0.593514278,3,1.29
l674_1,n4584,n4638,220,7.542088066,1.503406259,2,1.29
l673_1,n4640,n4642,220,7.324796697,1.460092365,2,1.29
l892_1,n4648,n4650,220,7.0310516,1.401538525,2,1.29
l672_1,n4629,n4652,220,9.407735214,1.875296056,2,1.29
l823_1,n4650,n4654,220,4.936439384,0.984007851,2,1.29
l6954_1,n4622,n4654,220,3.146244973,0.627158466,2,1.29
l6952_1,n4650,n4659,220,5.477406685,1.091841864,2,1.29
l6953_1,n4656,n4659,220,4.285018237,0.854156459,2,1.29
l675_1,n4642,n4662,220,7.705063692,1.535893095,2,1.29
l677_1,n4661,n4668,220,3.584858999,0.714589834,2,1.29
l830_1,n4668,n4670,220,2.369333755,0.472292443,2,1.29
l679_1,n4672,n4676,220,4.574728988,0.911906111,2,1.29
l553_1,n4656,n4680,220,17.60723512,3.509747864,2,1.29
l678_1,n4670,n4686,220,6.722621313,1.340057405,2,1.29
l562_1,n4686,n4688,220,4.828451334,0.962481993,2,1.29
l676_1,n4648,n4688,220,12.96064415,2.583517107,2,1.29
l694_1,n4678,n4688,220,11.9541574,2.382888518,2,1.29
l6937_1,n4686,n4689,220,3.195082827,0.636893587,2,1.29
l708_1,n4689,n4691,220,3.335355302,0.664854878,2,1.29
l11368_1,n4644,n4692,220,8.102287016,1.615073824,2,1.29
l651_1,n4644,n4698,220,9.269695835,1.847779901,2,1.29
l563_1,n4700,n4704,220,4.884003259,0.973555467,2,1.29
l656_1,n4702,n4706,220,7.418046012,1.478680268,2,1.29
l6943,n4696,n4706,220,4.460988253,0.889233539,1,1.29
l555_1,n3466,n4709,220,10.72214892,2.137305432,2,1.29
l937_1,n4618,n4717,220,4.395399738,0.876159416,2,1.29
l692_1,n4709,n4719,220,3.7220148,0.74192986,2,1.29
l831_1,n4719,n4720,220,1.937270676,0.386166912,2,1.29
l696_1,n4717,n4724,220,6.112157648,1.218370295,2,1.29
l953_1,n4717,n4724,220,6.319493727,1.259699746,2,1.29
l859_1,n4724,n4732,220,15.52201783,3.094089932,2,1.29
l867_1,n4716,n4733,220,3.854388205,0.768316586,3,1.29
l564_1,n4589,n4749,220,8.143189198,1.623227083,2,1.29
l709_1,n4589,n4752,220,6.338729658,1.263534151,2,1.29
l566_1,n4761,n4762,220,5.635503046,1.123356089,2,1.29
l686_1,n4742,n4762,220,8.126750251,1.619950216,2,1.29
l701_1,n4517,n4767,220,20.10167277,4.006977961,2,1.29
l720_1,n4524,n4767,220,38.89383225,7.752923371,2,1.29
