ID,Node,Technology,Fuel,Capacity,Efficiency,Emission,VariableCost,Latitude,Longitude
p0,n4763,steam,biomass,16.8,0.4026,0,17.88375559,51.984761,9.822831
p1,n8046,steam,biomass,9.8,0.4103,0,17.54813551,47.79714,10.85874
p2,n5556,steam,biomass,138.9,0.4138,0,17.39971,52.72713,12.01115
p3,n7261,steam,biomass,1.1,0.4145,0,17.37032569,49.988218,9.155761
p4,n7261,steam,biomass,0.8,0.418,0,17.22488038,49.988218,9.155761
p5,n4536,steam,biomass,16,0.4124,0,17.45877789,52.07778,13.51725
p6,n6842,steam,biomass,17.7,0.4145,0,17.37032569,51.63701,7.61876
p7,n4544,steam,biomass,16.5,0.4145,0,17.37032569,52.42529,13.517308
p8,n7726,steam,biomass,20,0.4131,0,17.4291939,53.252132,13.957019
p9,n4762,steam,biomass,18.1,0.4152,0,17.34104046,51.48993,10.41307
p10,n4731,steam,biomass,18,0.404,0,17.82178218,51.40667,8.60115
p11,n3476,steam,biomass,13.2,0.404,0,17.82178218,48.26698,9.72615
p12,n3476,steam,biomass,8,0.3837,0,18.76465989,48.26693,9.72626
p13,n5651,steam,biomass,20,0.4145,0,17.37032569,53.34217,7.20624
p14,n7681,steam,biomass,20,0.4152,0,17.34104046,52.619274,6.86931
p15,n4619,steam,biomass,12.6,0.4131,0,17.4291939,50.022602,8.377209
p16,n4716,steam,biomass,12.4,0.4138,0,17.39971,50.12943,8.76792
p17,n4746,steam,biomass,12.1,0.4117,0,17.48846247,51.91537,8.40031
p18,n4690,steam,biomass,20,0.4138,0,17.39971,51.411114,7.491698
p19,n5697,steam,biomass,20,0.4145,0,17.37032569,53.53188044,10.07459164
p20,n4592,steam,biomass,16.8,0.4124,0,17.45877789,52.09875,9.38821
p21,n8066,steam,biomass,18.6,0.4124,0,17.45877789,53.148966,12.379742
p22,n3497,steam,biomass,14,0.4138,0,17.39971,48.628498,10.200853
p23,n3466,steam,biomass,78,0.418,0,17.22488038,49.0393,8.31134
p24,n4552,steam,biomass,17.1,0.4131,0,17.4291939,52.30479,13.63603
p25,n3305,steam,biomass,15.1,0.4159,0,17.31185381,48.79123,11.50679
p26,n5541,steam,biomass,17.8,0.4152,0,17.34104046,53.320352,14.271028
p27,n4590,steam,biomass,20,0.4145,0,17.37032569,52.57703,9.11009
p28,n6842,steam,biomass,20,0.4152,0,17.34104046,51.61403992,7.481253974
p29,n7688,steam,biomass,9.8,0.4131,0,17.4291939,53.74186,12.78302
p30,n7798,steam,biomass,17.9,0.4131,0,17.4291939,49.51644467,8.460246482
p31,n7798,steam,biomass,59.2,0.411,0,17.51824818,49.5349,8.46358
p32,n4500,steam,biomass,15.6,0.4089,0,17.60821717,49.26133,11.4516
