id,Node,Technology,Fuel,Power,Efficiency,Emission,VariableCost,Storage,Latitude,Longitude
p168,n3457,psp,hydro,360,0.75,0,0,3600,47.565416,7.954035
p176,n7998,psp,hydro,143,0.75,0,0,1430,51.167139,9.046832
p177,n7998,psp,hydro,480,0.75,0,0,4800,51.167139,9.046832
p185,n4679,psp,hydro,138,0.75,0,0,1380,51.22475,7.99281
p190,n5685,psp,hydro,119.1,0.75,0,0,1191,53.42605,10.3359
p191,n4597,psp,hydro,164,0.75,0,0,1640,50.05313,9.58137
p192,n4554,psp,hydro,1052,0.75,0,0,10520,50.50975864,11.02087498
p193,n4554,psp,hydro,265,0.75,0,0,2650,50.50975864,11.02087498
p194,n4554,psp,hydro,265,0.75,0,0,2650,50.50975864,11.02087498
p195,n4554,psp,hydro,265,0.75,0,0,2650,50.50975864,11.02087498
p198,n4500,psp,hydro,160,0.75,0,0,1600,49.48712,11.47479
p199,n3458,psp,hydro,100,0.75,0,0,1000,47.75459,8.18787
p202,n4690,psp,hydro,165,0.75,0,0,1650,51.41048,7.45314
p205,n4501,psp,hydro,317.8,0.75,0,0,3178,50.60384898,11.47517681
p212,n7769,reservoir,hydro,124,0.8,0,0,1240,47.631354,11.337054
p213,n4593,psp,hydro,220,0.75,0,0,2200,51.89912,9.92452
p219,n4559,psp,hydro,1045.2,0.75,0,0,10452,50.51938,12.87976
p220,n4559,psp,hydro,175,0.75,0,0,1750,50.51938,12.87976
p221,n4559,psp,hydro,175,0.75,0,0,1750,50.51938,12.87976
p222,n4559,psp,hydro,175,0.75,0,0,1750,50.51938,12.87976
p223,n4559,psp,hydro,175,0.75,0,0,1750,50.51938,12.87976
p224,n4559,psp,hydro,175,0.75,0,0,1750,50.51938,12.87976
p271,n4510,psp,hydro,99,0.75,0,0,990,49.53002,12.28481
p278,n3461,psp,hydro,150,0.75,0,0,1500,47.61777,8.1926
p282,n3456,psp,hydro,910,0.75,0,0,9100,47.64529898,7.91819945
p285,n3460,psp,hydro,220,0.75,0,0,2200,47.68791,8.25159
p2752,n3304,psp,hydro,0.0163,1,0,0,0.163,47.941187,11.979218
p2753,n3306,psp,hydro,0.0065,1,0,0,0.065,48.348035,11.260986
p2754,n3308,psp,hydro,0.0241,1,0,0,0.241,48.067,11.184
p2755,n3310,psp,hydro,0.13187,1,0,0,1.3187,48.862,11.363
p2756,n3311,psp,hydro,0.018,1,0,0,0.18,48.842,11.363
p2757,n3312,psp,hydro,0.012,1,0,0,0.12,48.545705,11.778717
p2758,n3314,psp,hydro,0.0409,1,0,0,0.409,48.266741,11.589203
p2759,n3315,psp,hydro,0.013,1,0,0,0.13,48.314255,11.825409
p2760,n3317,psp,hydro,0.0056,1,0,0,0.056,48.992834,12.034149
p2761,n3318,psp,hydro,0.05176,1,0,0,0.5176,48.20088,12.628784
p2762,n3320,psp,hydro,0.0157,1,0,0,0.157,48.332517,12.929535
p2763,n3321,psp,hydro,0.06528,1,0,0,0.6528,48.686,13.035
p2764,n3322,psp,hydro,0.0365,1,0,0,0.365,48.666,13.035
p2765,n3324,psp,hydro,0.0144,1,0,0,0.144,48.801436,12.741394
p2766,n3454,psp,hydro,0.01662,1,0,0,0.1662,48.114,7.714
p2767,n3455,psp,hydro,0.0394,1,0,0,0.394,48.094,7.714
p2768,n3456,psp,hydro,0.0167,1,0,0,0.167,47.609,7.934
p2769,n3457,psp,hydro,0.008,1,0,0,0.08,47.589,7.934
p2770,n3461,psp,hydro,0.02504,1,0,0,0.2504,47.64,8.205
p2771,n3462,psp,hydro,0.0123,1,0,0,0.123,48.074409,8.386688
p2772,n3465,psp,hydro,0.0033,1,0,0,0.033,48.992834,8.423767
p2773,n3466,psp,hydro,0.0033,1,0,0,0.033,49.019,8.326
p2774,n3467,psp,hydro,0.0025,1,0,0,0.025,48.999,8.326
p2775,n3468,psp,hydro,0.04842,1,0,0,0.4842,47.810388,8.962097
p2776,n3469,psp,hydro,0.0068,1,0,0,0.068,47.789171,8.791809
p2777,n3470,psp,hydro,0.0118,1,0,0,0.118,48.079914,8.528137
p2778,n3473,psp,hydro,0.12672,1,0,0,1.2672,48.244797,8.861847
p2779,n3474,psp,hydro,0.0188,1,0,0,0.188,48.816,8.925
p2780,n3476,psp,hydro,0.0307,1,0,0,0.307,48.242967,9.84375
p2781,n3477,psp,hydro,0.0386,1,0,0,0.386,48.037692,9.396057
p2782,n3478,psp,hydro,0.0224,1,0,0,0.224,47.708837,9.606171
p2783,n3480,psp,hydro,0.0028,1,0,0,0.028,48.592051,9.280701
p2784,n3481,psp,hydro,0.0102,1,0,0,0.102,48.484756,9.244995
p2785,n3482,psp,hydro,0.0065,1,0,0,0.065,48.831,9.134
p2786,n3484,psp,hydro,0.0098,1,0,0,0.098,48.736267,9.328766
p2787,n3486,psp,hydro,0.0092,1,0,0,0.092,48.621109,9.574585
p2788,n3489,psp,hydro,0.03505,1,0,0,0.3505,47.952225,10.192566
p2789,n3491,psp,hydro,0.0354,1,0,0,0.354,47.632082,10.26535
p2790,n3493,psp,hydro,0.0106,1,0,0,0.106,48.493857,10.170593
p2791,n3494,psp,hydro,0.0071,1,0,0,0.071,48.209,10.063
p2792,n3495,psp,hydro,0.01056,1,0,0,0.1056,48.189,10.063
p2793,n3496,psp,hydro,0.0135,1,0,0,0.135,48.79239,10.095062
p2794,n3497,psp,hydro,0.0033,1,0,0,0.033,48.622016,10.204926
p2795,n3499,psp,hydro,0.006,1,0,0,0.06,48.325,10.783
p2796,n3500,psp,hydro,0.01529,1,0,0,0.1529,48.305,10.783
p2797,n3501,psp,hydro,0.015,1,0,0,0.15,48.62837,10.829773
p2798,n3503,psp,hydro,0.0054,1,0,0,0.054,48.670106,9.299927
p2799,n3507,psp,hydro,0.0108,1,0,0,0.108,48.772483,9.229889
p2800,n3848,psp,hydro,0.02095,1,0,0,0.2095,47.593841,7.874779
p2801,n4496,psp,hydro,0.03211,1,0,0,0.3211,51.316881,12.484589
p2802,n4498,psp,hydro,0.0135,1,0,0,0.135,52.465214,12.935028
p2803,n4499,psp,hydro,0.016,1,0,0,0.16,50.21558,11.179962
p2804,n4500,psp,hydro,0.0569,1,0,0,0.569,49.454735,11.306305
p2805,n4510,psp,hydro,0.0508,1,0,0,0.508,49.688066,12.049255
p2806,n4511,psp,hydro,0.005,1,0,0,0.05,49.36,12.031
p2807,n4512,psp,hydro,0.011,1,0,0,0.11,49.34,12.031
p2808,n4517,psp,hydro,0.0108,1,0,0,0.108,50.992,11.455
p2809,n4518,psp,hydro,0.0033,1,0,0,0.033,50.972,11.455
p2810,n4519,psp,hydro,0.0132,1,0,0,0.132,50.877044,11.733398
p2811,n4522,psp,hydro,0.0065,1,0,0,0.065,50.593699,12.33902
p2812,n4524,psp,hydro,0.0099,1,0,0,0.099,51.126,12.695
p2813,n4527,psp,hydro,0.005,1,0,0,0.05,51.013755,13.815308
p2814,n4529,psp,hydro,0.0244,1,0,0,0.244,51.75849,12.181091
p2815,n4530,psp,hydro,0.0209,1,0,0,0.209,51.308296,12.685089
p2816,n4538,psp,hydro,0.00935,1,0,0,0.0935,51.31,13.447
p2817,n4541,psp,hydro,0.0235,1,0,0,0.235,52.266,13.83
p2818,n4542,psp,hydro,0.0135,1,0,0,0.135,52.246,13.83
p2819,n4544,psp,hydro,0.1163,1,0,0,1.163,52.437595,13.443146
p2820,n4545,psp,hydro,0.008,1,0,0,0.08,52.476,13.894
p2821,n4546,psp,hydro,0.0206,1,0,0,0.206,52.456,13.894
p2822,n4551,psp,hydro,0.01,1,0,0,0.1,52.409121,12.816925
p2823,n4552,psp,hydro,0.13494,1,0,0,1.3494,52.425873,13.643646
p2824,n4553,psp,hydro,0.0066,1,0,0,0.066,51.268789,12.384338
p2825,n4554,psp,hydro,0.0048,1,0,0,0.048,50.490716,11.147003
p2826,n4558,psp,hydro,0.0065,1,0,0,0.065,51.733833,13.167114
p2827,n4560,psp,hydro,0.004,1,0,0,0.04,51.094036,13.581848
p2828,n4561,psp,hydro,0.00348,1,0,0,0.0348,51.415482,11.807556
p2829,n4576,psp,hydro,0.02244,1,0,0,0.2244,52.302601,13.168488
p2830,n4580,psp,hydro,0.0075,1,0,0,0.075,49.473,6.74
p2831,n4585,psp,hydro,0.0219,1,0,0,0.219,51.54,6.714
p2832,n4587,psp,hydro,0.0097,1,0,0,0.097,49.703,8.536
p2833,n4589,psp,hydro,0.0125,1,0,0,0.125,52.173089,8.925018
p2834,n4590,psp,hydro,0.02306,1,0,0,0.2306,52.54,9.168
p2835,n4591,psp,hydro,0.0134,1,0,0,0.134,52.52,9.168
p2836,n4592,psp,hydro,0.0108,1,0,0,0.108,51.940032,9.420776
p2837,n4593,psp,hydro,0.0023,1,0,0,0.023,51.814558,9.930267
p2838,n4594,psp,hydro,0.0186,1,0,0,0.186,52.24462,10.180206
p2839,n4600,psp,hydro,0.01,1,0,0,0.1,49.990967,6.256714
p2840,n4601,psp,hydro,0.0584,1,0,0,0.584,49.975,6.527
p2841,n4604,psp,hydro,0.0731,1,0,0,0.731,50.403266,6.568451
p2842,n4605,psp,hydro,0.0064,1,0,0,0.064,49.417,7.701
p2843,n4611,psp,hydro,0.05055,1,0,0,0.5055,50.095036,7.003784
p2844,n4612,psp,hydro,0.026,1,0,0,0.26,50.386,7.381
p2845,n4613,psp,hydro,0.0351,1,0,0,0.351,50.366,7.381
p2846,n4616,psp,hydro,0.0077,1,0,0,0.077,49.20414,8.411407
p2847,n4617,psp,hydro,0.01755,1,0,0,0.1755,49.796336,7.724762
p2848,n4619,psp,hydro,0.0033,1,0,0,0.033,50.03,8.352
p2849,n4623,psp,hydro,0.0025,1,0,0,0.025,51.085,6.791
p2850,n4624,psp,hydro,0.005,1,0,0,0.05,50.996472,6.546478
p2851,n4625,psp,hydro,0.0245,1,0,0,0.245,50.831963,6.278687
p2852,n4626,psp,hydro,0.0582,1,0,0,0.582,50.915156,6.236115
p2853,n4627,psp,hydro,0.0181,1,0,0,0.181,50.830228,6.465454
p2854,n4628,psp,hydro,0.0316,1,0,0,0.316,50.9342,6.513519
p2855,n4629,psp,hydro,0.0135,1,0,0,0.135,51.006,6.68
