ID,Hour,value
p168,1,0.0
p176,1,0.0
p177,1,0.0
p185,1,0.0
p190,1,4.844767187200038
p191,1,0.0
p192,1,0.0
p193,1,0.0
p194,1,0.0
p195,1,0.0
p198,1,0.0
p199,1,0.0
p202,1,1.7245936747999764
p205,1,0.0
p212,1,0.0
p213,1,0.0
p219,1,0.0
p220,1,0.0
p221,1,0.0
p222,1,0.0
p223,1,0.0
p224,1,0.0
p271,1,0.0
p278,1,0.0
p282,1,0.0
p285,1,0.0
p2752,1,0.0
p2753,1,0.0
p2754,1,0.0
p2755,1,0.0
p2756,1,0.0
p2757,1,0.0
p2758,1,0.0
p2759,1,0.0
p2760,1,0.0
p2761,1,0.0
p2762,1,0.0
p2763,1,0.0
p2764,1,0.0
p2765,1,0.0
p2766,1,0.0
p2767,1,0.0
p2768,1,0.0
p2769,1,0.0
p2770,1,0.0
p2771,1,0.0
p2772,1,0.0
p2773,1,0.0
p2774,1,0.0
p2775,1,0.0
p2776,1,0.0
p2777,1,0.0
p2778,1,0.0
p2779,1,0.0
p2780,1,0.0
p2781,1,0.0
p2782,1,0.0
p2783,1,0.0
p2784,1,0.0
p2785,1,0.0
p2786,1,0.0
p2787,1,0.0
p2788,1,0.0
p2789,1,0.0
p2790,1,0.0
p2791,1,0.0
p2792,1,0.0
p2793,1,0.0
p2794,1,0.0
p2795,1,0.0
p2796,1,0.0
p2797,1,0.0
p2798,1,0.0
p2799,1,0.0
p2800,1,0.0
p2801,1,0.0
p2802,1,0.0
p2803,1,0.0
p2804,1,0.0
p2805,1,0.0
p2806,1,0.0
p2807,1,0.0
p2808,1,0.0
p2809,1,0.0033
p2810,1,0.0
p2811,1,0.0
p2812,1,0.0
p2813,1,0.0
p2814,1,0.0
p2815,1,0.0
p2816,1,0.0
p2817,1,0.0
p2818,1,0.0
p2819,1,0.0
p2820,1,0.0
p2821,1,0.0
p2822,1,0.0
p2823,1,0.0
p2824,1,0.0
p2825,1,0.0
p2826,1,0.0
p2827,1,0.0
p2828,1,0.0
p2829,1,0.02244
p2830,1,0.0
p2831,1,0.0
p2832,1,0.0
p2833,1,0.0
p2834,1,0.0
p2835,1,0.0
p2836,1,0.0
p2837,1,0.0
p2838,1,0.0
p2839,1,0.0
